date,avg_cpu_usage,avg_memory_usage,total_cpu_capacity,total_memory_capacity,avg_scheduling_class,avg_priority,sin_time_of_day,cos_time_of_day
2019-05-23 03:45:00,0.6213116288849664,0.5590246667807843,7079.32861328125,4381.39501953125,1.134211263659288,148.95685065844773,0.8478802581488996,0.5301877665896824
2019-05-23 03:50:00,0.6119074537344433,0.5360423603837957,7099.9265239228525,4395.8201246769895,1.1063511084481723,148.94457759137202,0.859419109799015,0.511271741554595
2019-05-23 03:55:00,0.6250044663952378,0.5477711330215931,7072.64453125,4377.060302734375,1.0678191489361704,146.15724734042558,0.8697707890409386,0.4934559499399141
2019-05-23 04:00:00,0.6180253365968369,0.5388241567248767,7099.9265239228525,4395.8201246769895,1.027170311464546,157.93671305500328,0.8806401575448302,0.4737857246893545
2019-05-23 04:05:00,0.6236451475532179,0.5183849289332246,7072.38525390625,4376.8935546875,1.1358961802154743,151.0879040156709,0.8906623745592868,0.45466529947249407
2019-05-23 04:10:00,0.6263254247520594,0.5297727763158318,7074.7099609375,4378.394287109375,1.113024159955568,150.34157178561506,0.9006276876681366,0.4345914957814354
2019-05-23 04:15:00,0.608187046127334,0.5284921418279424,7075.4833984375,4379.061279296875,1.0787083753784057,153.76791120080728,0.9096347666242732,0.41540894471400575
2019-05-23 04:20:00,0.6003613719760499,0.5494663927244662,7099.9265239228525,4395.8201246769895,1.1193163495646563,168.61722025153176,0.9189155813046623,0.39445424884961555
2019-05-23 04:25:00,0.6268945188005146,0.5637249155161812,7074.83740234375,4378.31103515625,1.0765957446808514,160.56418439716313,0.9266007971215031,0.3760464901761417
2019-05-23 04:30:00,0.6175600456238256,0.5479855897146505,7076.75537109375,4379.31103515625,1.0814049586776857,160.45330578512403,0.9353643415268895,0.353685663548819
2019-05-23 04:35:00,0.6169124676266822,0.5505079370390076,7078.42333984375,4380.47802734375,1.1114958448753463,153.18524930747924,0.9424360502765334,0.3343864398254919
2019-05-23 04:40:00,0.617192953768214,0.572845567903345,7078.81005859375,4380.8115234375,1.141967990515708,146.60225251926494,0.9497274715818959,0.31307783333008277
2019-05-23 04:45:00,0.6214230278110794,0.5555552794136063,7079.32861328125,4381.14501953125,1.123994452149792,151.9852981969487,0.9559885439543261,0.2934039942265402
2019-05-23 04:50:00,0.6045926092391513,0.5670070909821537,7099.9265239228525,4395.8201246769895,1.153908794788274,167.1188925081433,0.9622645145299306,0.27211579167052574
2019-05-23 04:55:00,0.6568101551252283,0.5806023088758815,7079.587890625,4381.311767578125,1.0700511609602523,163.370326643054,0.9679965540295604,0.25096348616262154
2019-05-23 05:00:00,0.6289656125304393,0.5803654598018113,7075.1396484375,4378.477294921875,1.1160436137071652,170.13006230529595,0.9732486392387714,0.22975440413598125
2019-05-23 05:05:00,0.6460430137726557,0.5806417660201528,7099.9265239228525,4395.8201246769895,1.130554858147125,148.94752698970626,0.9781785658458868,0.20776595803856807
2019-05-23 05:10:00,0.6453148127481657,0.601698854646219,7076.0986328125,4378.977294921875,1.0859903381642508,147.10797101449276,0.9822532664492819,0.18755937873035297
2019-05-23 05:15:00,0.6238616033895418,0.581251133416033,7077.5224609375,4379.81103515625,1.112050163576881,147.62268266085064,0.9862716582488912,0.16513090605632366
2019-05-23 05:20:00,0.6255837103975851,0.5549634679697414,7079.587890625,4381.311767578125,1.0567977383705989,143.05140066820871,0.9897246328415409,0.1429865418376047
2019-05-23 05:25:00,0.6211969709646933,0.5714997143514848,7099.9265239228525,4395.8201246769895,1.087434094903339,140.65311950790866,0.9926527742758153,0.12099780875093277
